name;score;url;Background;Body;Clothes;Eyes;Head;Mouth;Nose
PsychoMolly #916;0.00010853566032213119;https://crypto.com/nft/marketplace?asset=e867fc0960a8ec91be14f288a909115a;Diamonds;Pink Stripes;Coconut;Cucumbers;Blonde Hair;Big Gold Fish;Sugar Skull Nose
PsychoMolly #3098;0.00011204550240302734;https://crypto.com/nft/marketplace?asset=37f3634d1499cdd003c03ae711b41eb9;Diamonds;Pink Stripes;Pajama;K-Trix Shades;Flight Attendant;Geisha Lips;Sugar Skull Nose
PsychoMolly #627;0.00011344285300901687;https://crypto.com/nft/marketplace?asset=24942cea2bd4fa936bd5b9207d5c28ae;Hearts;White;Super Bit;K-Trix Shades;Spinner;Bitcoin Tab;Teal Nose
PsychoMolly #4033;0.00011436251392420728;https://crypto.com/nft/marketplace?asset=3b6a924244ead016c2e9acd2041fc811;Hot Pink;Diva;Pink Space Suit;Purple Shadow;Flight Attendant;Muahh;Gold Stud
PsychoMolly #2645;0.00011784807127688386;https://crypto.com/nft/marketplace?asset=94c6230e6911bac62c5baac378d25067;Sun Down;White;Gold Angel;Shades;Mars;Sugar Skull Lips;Heart Nose
PsychoMolly #4999;0.00012027186284276997;https://crypto.com/nft/marketplace?asset=a851349e79157cae0d9312ea1b9306ac;Dots;Mint Swirl;Soldier;Red Eyes;Headphones;Sugar Skull Lips;Button Nose
PsychoMolly #4718;0.00012030187239523483;https://crypto.com/nft/marketplace?asset=ab38d0a89aee735b5b1cc518b40db0b6;Dots;Zombie;White Dress;Sugar Skull Eyes;Blonde Hair;Muahh;Teal Nose
PsychoMolly #5747;0.00012388113378458698;https://crypto.com/nft/marketplace?asset=e1e4d46d45d51805469ea8fd013e661c;Dots;Tanned;Pajama;Shades;Egyptian Crown;Bitcoin Tab;Sugar Skull Nose
PsychoMolly #2001;0.00012403966102034143;https://crypto.com/nft/marketplace?asset=dcbacf0fa28ac01db8a17b3d378f5378;Hearts;Polka Dots;Pancha Villa;Red Eyes;Gata;Pink Yarn;Gold Stud
PsychoMolly #771;0.00012502268781527378;https://crypto.com/nft/marketplace?asset=de06f6ca0d2ec73b1ae843a64053ba47;Hearts;Tanned;Pink Space Suit;Cucumbers;Halo;Picante;Sugar Skull Nose
PsychoMolly #406;0.00012692342686139655;https://crypto.com/nft/marketplace?asset=805f51b27fdab24a5e27910311d357f7;Sun Down;Zombie;Burger Queen;Sugar Skull Eyes;Kitty;Ice Cream;Clown Nose
PsychoMolly #6566;0.0001270968619408382;https://crypto.com/nft/marketplace?asset=5dbede9083d674ad491eedc0be5b87fc;Hearts;Make-Up;Skeleton Shirt;Cyborg;Rainbow Afro;Ice Cream;Diamond Nose
